user_id,age,gender,occupation,work_mode,screen_time_hours,work_screen_hours,leisure_screen_hours,sleep_hours,sleep_quality_1_5,stress_level_0_10,productivity_0_100,exercise_minutes_per_week,social_hours_per_week,mental_wellness_index_0_100,
U0030,27,Female,Employed,In-person,9.57,0.48,9.09,7.18,1,10,38,81,9.1,0.9,
U0031,25,Female,Employed,In-person,6.37,0.78,5.59,6.91,1,8.5,52.1,0,8.9,11.1,
U0032,44,Female,Student,Remote,14.35,7.54,6.81,6.5,1,10,42.6,100,5.1,0,
U0033,29,Male,Student,Remote,6.89,1.25,5.64,7.42,1,7,60.3,116,0.2,17.2,
U0034,21,Male,Employed,Hybrid,11.38,0.57,10.81,7.38,1,9.9,57,95,11.4,2.4,
U0035,36,Male,Student,In-person,13.05,0.65,12.4,7.28,1,10,39.6,86,4.2,0,
U0036,20,Female,Employed,Remote,7.47,3.01,4.46,7.57,1,8.4,53.6,15,14.3,14.8,
U0037,31,Female,Student,Hybrid,9.93,1.89,8.04,6.63,1,9.5,45.7,138,15.2,2.2,
U0038,16,Female,Employed,Hybrid,8.08,1.25,6.83,7.64,3,6.5,68.1,147,0,57.6,
U0039,19,Female,Employed,In-person,7.88,0.39,7.49,7.03,1,9,49.8,153,7.6,17.7,
U0040,31,Male,Employed,Remote,8.81,3.92,4.89,6.22,1,10,51.6,172,5.7,12.5,
U0041,35,Female,Employed,In-person,5.65,0.36,5.29,7.28,2,7.2,67.4,169,19.4,35.2,
U0042,31,Female,Employed,In-person,9.31,0.65,8.66,7.08,2,8.4,51.7,74,1.1,30.4,
U0043,29,Male,Employed,Remote,7.72,5.52,2.2,7.96,3,3.8,77.7,106,17.5,62.2,
U0044,27,Female,Employed,Remote,11.81,4.64,7.17,6.45,1,10,37.6,92,3.5,0,
U0045,18,Female,Employed,In-person,6.71,0.74,5.97,6.31,1,7.4,58.8,119,8,23.3,
U0046,24,Male,Unemployed,Remote,6.1,1.57,4.53,7.47,1,4.1,79.6,188,8,53,
U0047,26,Female,Employed,In-person,7.46,1.45,6.01,7.33,2,8.9,49.2,156,8.4,23.7,
U0048,38,Male,Student,Remote,14.22,7.52,6.7,6.5,1,10,34.8,222,13.9,0,
U0049,32,Male,Student,Remote,9.93,3.77,6.16,7.67,2,9.3,52.8,254,0.5,18.5,
U0050,16,Male,Employed,In-person,13.29,0.99,12.3,7.08,1,10,27.1,77,9.2,0,
U0051,32,Female,Employed,Hybrid,6.77,0.36,6.41,6.93,1,6.5,56.8,0,8.1,27.3,
U0052,26,Male,Student,Remote,10.25,5.59,4.66,6.33,1,10,38.5,181,5.4,0.3,
U0053,24,Female,Employed,Hybrid,8.75,1.6,7.15,6.2,1,8.8,44.9,65,21.6,0,
U0054,34,Female,Employed,Hybrid,10.13,0.51,9.62,7.48,1,9.8,44.8,43,5.4,1.5,
U0055,38,Female,Employed,Remote,9.47,2.4,7.07,8.22,2,7.2,60,77,10.2,34.4,
U0056,37,Non-binary/Other,Employed,Hybrid,7.57,0.42,7.15,7.08,2,9.4,51.7,85,11.5,27.4,
U0057,23,Female,Student,In-person,6.76,0.55,6.21,7.12,2,5.6,74,157,1,39.1,
U0058,27,Female,Student,Remote,7.82,2.5,5.32,8.37,3,6.9,81,0,18.8,44.1,
U0059,32,Male,Employed,Hybrid,11.49,1.1,10.39,7.1,2,7.2,67.8,15,0,29.9,
U0060,37,Female,Employed,Hybrid,8.89,1.91,6.98,7.49,2,9.7,40.3,132,6.1,19.8,
U0061,26,Female,Employed,In-person,10.09,0.68,9.41,5.89,1,10,46.3,139,5.6,4.5,
U0062,28,Female,Employed,Remote,9.02,2.67,6.35,7.57,1,9.4,45.8,148,7.9,2.3,
U0063,21,Female,Student,In-person,11.16,1.46,9.7,5.89,1,10,42.2,31,2.8,3.8,
U0064,20,Female,Self-employed,Hybrid,7.3,1.65,5.65,6.3,1,8.4,51.1,41,7.7,9.8,
U0065,36,Female,Employed,Remote,6.95,3.9,3.05,7.14,1,10,48.3,84,7.9,0,
U0066,40,Male,Employed,Remote,5.5,2.5,3,7.21,2,2.6,86.3,147,2.2,60.6,
U0067,29,Female,Employed,Remote,11.02,1.59,9.43,6.56,1,10,38,195,0,13.2,
U0068,38,Female,Employed,Hybrid,8.47,0.94,7.53,6.06,1,7.4,50.3,0,10,18.2,
U0069,32,Male,Employed,Hybrid,6.92,1.07,5.85,8.15,3,5.1,76.5,102,11.5,57,
U0070,24,Female,Student,In-person,8.23,0.45,7.78,8.01,2,7,65.1,12,17.2,30.6,
U0071,32,Male,Unemployed,Hybrid,7.88,0.39,7.49,5.68,1,7.7,59,0,4.5,19.6,
U0072,42,Female,Student,Remote,13.44,6.68,6.76,7.29,1,10,43,151,12.5,5.4,
U0073,29,Female,Unemployed,Hybrid,5.41,0.44,4.97,6.93,1,4.6,68.5,163,5.5,43,
U0074,42,Female,Employed,In-person,8.6,1.6,7,7.92,2,9.2,56,144,15.5,21.4,
U0075,16,Female,Student,Remote,9.13,4.07,5.06,6.84,2,5.4,74.5,161,12.8,52.8,
U0076,36,Female,Employed,Remote,9.26,4.57,4.69,7.09,1,10,51.1,72,9.9,5.1,
U0077,30,Female,Self-employed,Remote,6.61,1.82,4.79,7.26,1,6.8,60.5,88,6,19.3,
U0078,27,Female,Employed,In-person,3.93,1.02,2.91,8.75,2,2.2,88,286,16.6,68.4,
U0079,30,Female,Self-employed,Hybrid,11.75,0.88,10.87,5.65,1,10,41.5,70,10.3,0,
U0080,16,Female,Employed,Hybrid,7.58,0.38,7.2,7.61,2,4.5,67.7,157,3.4,61.4,
U0081,28,Female,Employed,In-person,9.14,1.99,7.15,7.89,1,9.4,45.5,103,0.9,11.7,
U0082,32,Female,Self-employed,In-person,5.44,0.45,4.99,8.18,2,3,88.3,0,7.1,56.1,
U0083,41,Female,Student,Remote,9.86,6.39,3.47,8.89,3,8.2,66.3,0,15.8,32.6,
U0084,25,Male,Employed,In-person,8.05,1.1,6.95,6.72,1,7.1,55.9,67,11.4,17.5,
U0085,23,Female,Student,Remote,7.04,3.5,3.54,8.04,3,4.6,82.3,186,2.8,72.6,
U0086,25,Male,Retired,Remote,6.32,1.72,4.6,7.32,2,6.3,64.4,173,3.6,30.8,
U0087,37,Male,Unemployed,Remote,10.3,2.73,7.57,7.91,1,9.1,50.4,164,13.5,12.2,
U0088,32,Female,Student,Remote,9.24,2.53,6.71,7.03,1,9.3,46.5,34,4.5,5,
U0089,25,Male,Employed,Hybrid,8.29,1,7.29,6.8,1,6.4,58.3,219,12,34.5,
U0090,34,Male,Unemployed,In-person,5.52,0.92,4.6,8.66,2,6.2,68.7,59,5.9,38.1,
U0091,30,Female,Student,Remote,9.13,2.42,6.71,6.64,1,10,43.9,118,16.1,0,
U0092,37,Female,Employed,Remote,9.81,2.46,7.35,5.87,1,10,40.6,102,4,0,
U0093,24,Male,Unemployed,Hybrid,7.75,0.96,6.79,6.76,1,8.3,57.1,96,14.6,10.7,
U0094,27,Male,Student,In-person,7.05,0.62,6.43,7.81,1,8.8,49.9,208,5.7,14.4,
U0095,26,Female,Employed,Hybrid,7.83,0.87,6.96,8.3,3,3.2,95,60,8.7,80.9,
U0096,18,Female,Employed,Hybrid,10.17,1.01,9.16,6.84,1,10,51.5,0,0,0,
U0097,32,Female,Unemployed,Remote,7.94,2.93,5.01,8.28,2,8.3,53.5,113,0,18.7,
U0098,32,Female,Retired,Remote,9.58,3.64,5.94,5.9,1,8.9,48.4,74,6.1,6.1,
U0099,30,Male,Unemployed,In-person,3.69,0.67,3.02,7.49,1,6.8,61.4,372,10.6,30.3,
U0100,28,Female,Employed,In-person,7.58,0.38,7.2,7.01,1,7.7,53.9,159,4.3,24.2,
U0101,18,Female,Self-employed,Remote,9.82,5.22,4.6,6.72,1,9.2,58.5,64,2.7,10.7,
U0102,26,Male,Self-employed,In-person,8.53,0.43,8.1,7.15,1,9.5,45.4,31,8.3,6.7,
U0103,27,Female,Employed,Hybrid,7.32,0.61,6.71,7.82,2,5.1,74.8,0,10.9,41.4,
U0104,23,Female,Self-employed,In-person,4.3,0.48,3.82,7.33,1,7,66.8,57,8.1,27.3,
U0105,28,Male,Student,Remote,12.51,6.79,5.72,6.61,1,10,33.2,90,6.6,2.9,
U0106,33,Male,Employed,Hybrid,4.89,0.62,4.27,7.66,1,4.3,68.3,230,2,39.9,
U0107,45,Female,Student,Remote,11.1,4.95,6.15,6.14,1,9.5,36.1,177,4.6,8.8,
U0108,31,Male,Student,Hybrid,10.84,0.58,10.26,6.69,1,10,36.4,109,14.9,0.3,
U0109,32,Female,Student,Remote,13.9,5.84,8.06,6.22,2,10,26,53,3,8.7,
U0110,29,Female,Employed,Remote,12.05,2.66,9.39,6.45,1,9.6,44.8,104,9.3,4.1,
U0111,16,Male,Employed,Hybrid,6.34,0.35,5.99,7.33,2,5,86.8,77,20,54.7,
U0112,29,Female,Employed,In-person,11.04,0.85,10.19,6.79,1,10,42.3,212,0,4.7,
U0113,30,Female,Student,Remote,11.19,5.16,6.03,6.38,1,9.2,35.9,78,11.5,2.5,
U0114,49,Female,Employed,Hybrid,10.05,0.5,9.55,8.1,2,7.1,56.7,101,13.9,32,
U0115,28,Female,Employed,In-person,11.94,0.6,11.34,5.65,1,10,37.3,0,5.7,0.9,
U0116,32,Female,Employed,Remote,7.8,4.17,3.63,6.67,1,6.9,52.6,99,11.6,14.3,
U0117,29,Female,Employed,Hybrid,11.23,2.25,8.98,8.93,2,9.3,55.1,149,0,28.6,
U0118,20,Female,Employed,Hybrid,8.7,1.4,7.3,6.16,1,8.4,56.2,26,5.4,2.7,
U0119,39,Female,Self-employed,In-person,1,0.11,0.89,7.26,3,0,100,104,15.7,87.2,
U0120,36,Male,Employed,Remote,10.12,4.82,5.3,7.53,1,10,47.2,156,12.6,5,
U0121,36,Male,Student,Hybrid,10.04,2.11,7.93,5.29,1,10,52.1,0,14.6,6.1,
U0122,22,Male,Student,In-person,6.42,0.32,6.1,7.17,1,6.7,73,190,15.4,42.7,
U0123,41,Male,Self-employed,In-person,9.58,2.08,7.5,8.79,2,6.6,80.4,69,3.8,30.5,
U0124,18,Female,Student,Hybrid,7.77,1.17,6.6,5.88,1,10,40.9,78,17,0,
U0125,34,Female,Self-employed,Hybrid,7.85,1.44,6.41,5.68,1,8.1,70.8,34,10.5,8.7,
U0126,47,Male,Employed,Hybrid,6,0.3,5.7,6.47,1,9.4,49.3,157,16.4,9.6,
U0127,22,Male,Unemployed,In-person,9.23,0.73,8.5,7.65,2,4.8,67.4,271,7.9,52.1,
U0128,25,Male,Employed,Hybrid,11.27,1.99,9.28,7.56,3,8.9,59.5,143,6.6,41.2,
U0129,30,Female,Retired,Remote,9.05,5.35,3.7,6.63,1,10,40.9,43,7.6,0.9,
U0130,25,Female,Employed,In-person,8.07,0.75,7.32,7.69,1,7.9,56.7,187,0,26.9,
U0131,17,Female,Employed,Hybrid,5.52,1.16,4.36,8.55,3,3.7,79,96,3.2,67.8,
U0132,30,Female,Employed,Hybrid,10.27,0.96,9.31,8.29,3,8.3,60,193,10.8,33.5,
U0133,21,Male,Employed,Remote,9.59,4.62,4.97,6.67,1,8.8,56.1,152,0,6.5,
U0134,33,Male,Employed,Hybrid,12.19,2.56,9.63,4.76,1,10,39.4,0,11.1,0.2,
U0135,22,Female,Self-employed,Remote,6.09,3.86,2.23,6.75,1,6.4,64.1,47,15.9,18.6,
U0136,42,Non-binary/Other,Retired,Hybrid,5.87,0.31,5.56,7.3,1,5.8,68.8,195,9.7,43.9,
U0137,23,Male,Employed,Remote,9.65,3.25,6.4,6.68,1,10,50.5,107,5.8,4.7,
U0138,27,Female,Employed,Hybrid,9.13,1.44,7.69,6.85,1,10,34.4,30,18.4,4.4,
U0139,36,Female,Employed,In-person,5.07,1.21,3.86,8.59,2,5.2,79.1,86,19.1,45.7,
U0140,20,Female,Employed,Remote,8.14,1.22,6.92,8.1,2,8.5,56.2,0,7.5,22.3,
U0141,31,Female,Student,In-person,11.85,1.91,9.94,6.5,1,10,41.2,81,10.4,2.5,
U0142,40,Female,Student,Remote,10.39,1.58,8.81,7.82,3,6.8,73.6,255,7.4,50.3,
U0143,17,Female,Employed,In-person,3.76,0.78,2.98,7.99,2,2.9,79.6,185,10,60.1,
U0144,31,Female,Employed,In-person,5.9,0.34,5.56,7.58,2,5.5,67.1,276,10.8,49.3,
U0145,32,Female,Employed,Hybrid,8.76,1.86,6.9,7.83,2,6.2,54.4,168,10,30.2,
U0146,36,Male,Student,Hybrid,12.18,1.91,10.27,6.69,1,10,36.4,160,11.2,0,
U0147,20,Female,Student,In-person,6.31,0.54,5.77,9,4,2.7,100,253,17.9,97,
U0148,19,Male,Student,Remote,8.7,4.17,4.53,5.83,1,10,44.2,127,0,8,
U0149,34,Female,Retired,Remote,7.18,1.47,5.71,6.95,1,3.6,64.8,104,8,43.7,
U0150,32,Non-binary/Other,Employed,Hybrid,9.11,0.93,8.18,6.95,1,9,45.4,177,0.7,20.3,
U0151,32,Female,Employed,In-person,7.47,0.37,7.1,7.65,1,10,37.9,216,15.5,1.7,
U0152,32,Female,Employed,In-person,8.97,1.93,7.04,8.09,2,8.2,51,72,6.7,29.9,
U0153,24,Male,Student,In-person,7.98,0.7,7.28,7.12,1,9.5,50.4,57,2.3,7.9,
U0154,31,Male,Unemployed,Hybrid,7.22,1.48,5.74,6.19,1,7.9,48.5,125,14.3,9.6,
U0155,32,Male,Employed,In-person,7.16,1.04,6.12,8.02,2,5.5,77.9,174,15.1,59.8,
U0156,24,Female,Student,Remote,16.29,5.9,10.39,6.5,1,10,33.1,113,7.3,4.8,
U0157,44,Female,Employed,Hybrid,9.52,0.48,9.04,5.56,1,9.9,44.6,8,9.9,0.6,
U0158,33,Male,Self-employed,Remote,12.39,3.06,9.33,6.57,1,10,37.7,219,9.2,7.7,
U0159,20,Male,Unemployed,Remote,8.8,4.08,4.72,5.71,1,7.8,58.2,55,17.8,16,
U0160,35,Male,Employed,Hybrid,8.99,0.51,8.48,6.57,1,8.4,55.6,88,4.1,20.2,
U0161,22,Male,Employed,Hybrid,9.69,1.16,8.53,6.14,1,10,45.5,33,10.5,0,
U0162,36,Female,Student,Hybrid,9.75,0.49,9.26,7.64,2,10,52.8,291,6.1,13,
U0163,39,Male,Retired,Remote,12.67,6.76,5.91,6.68,2,10,43.7,103,2.4,16.7,
U0164,23,Female,Student,Remote,12.06,6.27,5.79,5.49,1,10,43.2,23,4.1,0,
U0165,37,Female,Unemployed,Remote,7.64,3.89,3.75,8.03,2,5.1,70.1,176,13.7,48.9,
U0166,33,Female,Employed,Hybrid,10.26,1.07,9.19,5.74,1,10,42.6,152,11.8,0,
U0167,36,Female,Employed,Remote,5.57,1.06,4.51,7.89,3,6.7,73.2,114,15.4,58.5,
U0168,45,Female,Employed,Remote,8.32,2.99,5.33,6.65,1,8.3,49.6,174,10.1,22.6,
U0169,28,Female,Student,Hybrid,10.63,1.09,9.54,6.49,1,6.9,50.3,35,9.4,18,
U0170,23,Male,Student,Hybrid,11.09,1.18,9.91,7.07,1,10,44.2,53,5.5,0,
U0171,22,Female,Student,Hybrid,6.55,0.33,6.22,7.75,1,8.7,61.2,0,2.6,19.9,
U0172,23,Male,Student,Remote,10.33,4.76,5.57,7.85,1,7.9,57.9,0,5.2,28.3,
U0173,29,Female,Employed,Hybrid,9.98,1.34,8.64,6.83,1,10,35.5,224,10,8.3,
U0174,32,Female,Employed,In-person,7.99,0.4,7.59,7.47,1,9.1,57.4,226,9.6,28.9,
U0175,32,Male,Student,Remote,11.22,3.89,7.33,6.39,1,10,39.3,96,7.2,0,
U0176,36,Female,Unemployed,Hybrid,4.1,0.21,3.89,7.99,1,4.1,79.1,253,7.8,45.3,
U0177,30,Female,Self-employed,Remote,10.48,5.65,4.83,7.18,1,10,36.8,84,23.9,0,
U0178,41,Female,Unemployed,Remote,8.57,1.57,7,7.15,1,8.3,52.8,95,10.7,17.4,
U0179,27,Female,Retired,Remote,8.16,2.48,5.68,5.7,1,6.3,62.4,111,11.1,30,
U0180,51,Non-binary/Other,Student,Remote,16.36,3.01,13.35,6.42,1,10,24.6,62,5.5,0,
U0181,35,Female,Employed,Hybrid,4.56,0.57,3.99,8.06,2,6.3,75.6,118,9.6,47.3,
U0182,23,Male,Employed,Hybrid,9.88,1.74,8.14,6.3,1,10,51.3,175,10.6,15,
U0183,21,Female,Employed,Hybrid,7.35,0.94,6.41,6.18,1,8,53.9,120,10.2,8.2,
U0184,33,Male,Student,In-person,6.92,0.5,6.42,8.57,2,5.7,79,168,0,44.5,
U0185,28,Male,Self-employed,In-person,7.05,0.35,6.7,7.72,1,6.8,59.1,187,0,32,
U0186,35,Male,Student,Hybrid,12.92,2.51,10.41,6.33,1,10,43.7,110,1.8,0.2,
U0187,33,Female,Student,In-person,11.06,2.88,8.18,5.86,1,10,28.1,25,7.4,0,
U0188,29,Female,Employed,Remote,10.75,6.43,4.32,6.12,1,7.4,66.8,0,7.8,28.6,
U0189,23,Female,Employed,Remote,12.27,6.71,5.56,7.53,1,10,48.6,91,12.5,0,
U0190,17,Male,Employed,Remote,13.51,2.03,11.48,6.35,1,10,36,58,0,0,
U0191,26,Male,Student,Hybrid,10.19,0.84,9.35,6.39,1,10,30.9,101,3.4,0,
U0192,36,Male,Self-employed,In-person,7.02,0.71,6.31,7.81,2,6.4,69.6,118,15.6,36.1,
U0193,31,Female,Employed,Remote,7.34,2.24,5.1,6.66,1,9.1,41.9,295,9.4,16.1,
U0194,20,Male,Student,In-person,10.4,0.54,9.86,7.94,1,10,45.1,0,10.7,0,
U0195,31,Male,Self-employed,Remote,10.82,4.01,6.81,7.87,2,10,50.2,0,16.3,19.3,
U0196,33,Female,Unemployed,In-person,5.85,0.58,5.27,7.18,1,7.4,54,148,2,20.3,
U0197,22,Female,Self-employed,Remote,10.95,2.64,8.31,6.17,1,10,48.3,62,5.8,7.6,
U0198,31,Male,Self-employed,Remote,8.08,3.75,4.33,5.1,1,7,62.7,132,5.6,30.6,
U0199,30,Male,Employed,Hybrid,11.65,0.58,11.07,5.47,1,10,46.4,129,0,0.8,
U0200,20,Male,Employed,Hybrid,8.93,1.62,7.31,5.89,1,10,44.7,189,6.9,0,
U0201,32,Female,Student,Remote,11.79,7.06,4.73,6.76,1,10,31.8,0,12.2,0,
U0202,34,Male,Employed,Hybrid,6.09,0.59,5.5,7.27,2,8.5,66.7,84,11.9,27.5,
U0203,38,Female,Employed,In-person,8.64,1.15,7.49,6.11,1,6.6,57,140,12.8,29.4,
U0204,38,Female,Employed,Hybrid,7.71,0.87,6.84,7.1,1,6.4,52.5,170,7.4,24.6,
U0205,18,Female,Employed,Hybrid,10.68,0.88,9.8,7.08,1,10,50.1,241,3.1,6.2,
U0206,22,Male,Employed,Hybrid,8.73,0.65,8.08,7.43,1,9.4,59.9,169,13.1,26,
U0207,34,Male,Student,Hybrid,7.3,0.72,6.58,5.83,1,9.8,47.6,112,6.4,0,
U0208,34,Male,Student,Remote,10.89,7.48,3.41,6.7,1,10,54.6,32,9.5,9.8,
U0209,34,Female,Employed,Hybrid,11.14,1.56,9.58,5.66,1,9.6,43.4,54,10.4,0,
U0210,60,Male,Student,Remote,12.56,2.93,9.63,7.54,1,10,36.9,56,15.9,0,
U0211,34,Female,Self-employed,Remote,11.96,6.74,5.22,7.27,1,9.3,39.1,134,10.2,3.3,
U0212,39,Male,Employed,Hybrid,11.15,0.56,10.59,6.1,1,9.2,54.3,114,0.1,6.5,
U0213,37,Female,Employed,Remote,5.28,3.59,1.69,7.07,2,6.5,65.4,37,4.5,38.8,
U0214,35,Female,Employed,Hybrid,7.32,1.08,6.24,6.98,1,9.2,54.6,86,13.3,19.1,
U0215,27,Female,Self-employed,Hybrid,9.39,0.47,8.92,5.16,1,10,40.6,162,9,5.9,
U0216,36,Female,Employed,Remote,11.12,4.7,6.42,7.06,1,8.3,45.4,119,4.3,13,
U0217,23,Male,Employed,Hybrid,3.49,0.52,2.97,7.59,3,1.9,100,173,12.4,77.7,
U0218,28,Female,Employed,Hybrid,15.38,2.09,13.29,6.85,1,10,32.6,92,4,1.2,
U0219,26,Female,Employed,In-person,11.64,0.68,10.96,5.74,1,10,38.1,200,7.4,15.9,
U0220,30,Male,Self-employed,Hybrid,9.13,0.98,8.15,6.54,1,8.4,57.5,120,12.1,14.5,
U0221,48,Female,Employed,In-person,7.48,0.48,7,6.25,1,6.4,70.8,95,4.1,29.2,
U0222,16,Male,Employed,Hybrid,10.03,1.22,8.81,5.95,1,10,46.8,27,15.1,0,
U0223,35,Male,Self-employed,Remote,5.5,1.97,3.53,6.68,1,5.4,64.2,145,6.3,32.1,
U0224,17,Male,Self-employed,Hybrid,9.53,2.23,7.3,7.64,2,10,46.6,0,8.4,0,
U0225,26,Female,Employed,In-person,8.16,0.92,7.24,6.58,1,7.4,56.6,94,17.3,23.2,
U0226,38,Male,Self-employed,Hybrid,9.32,0.8,8.52,7.18,1,7.4,56.3,92,0,15.5,
U0227,30,Male,Employed,In-person,7.42,1.06,6.36,6.98,2,3.5,72.9,18,9,43.2,
U0228,21,Female,Employed,In-person,8.06,1.85,6.21,6.09,1,8.4,56.6,40,12.6,18.9,
U0229,24,Female,Employed,Remote,9.51,2.33,7.18,6.78,1,8.8,49,155,11.1,5.7,
U0230,35,Male,Employed,Remote,11.85,6.4,5.45,7.15,1,9.3,32.7,106,4.7,0,
U0231,24,Male,Student,Hybrid,10.64,1.25,9.39,5.78,1,10,36.5,98,3.1,8.6,
U0232,31,Male,Self-employed,Hybrid,7.51,0.73,6.78,7.93,2,7.8,58.5,135,12.2,20.1,
U0233,30,Male,Self-employed,In-person,6.2,0.31,5.89,6.79,1,6.9,60.7,127,14.2,16.5,
U0234,24,Male,Student,In-person,7.26,0.96,6.3,6.86,1,9.9,58.8,198,3.1,13.3,
U0235,47,Female,Self-employed,Remote,10.23,3.11,7.12,7.46,1,10,44.1,114,0.7,10.1,
U0236,35,Female,Student,Remote,10.18,5.4,4.78,6.39,1,8.9,42.1,0,8.1,0,
U0237,16,Female,Employed,In-person,8.98,1.47,7.51,6.94,1,7.6,55.5,211,7.3,24.7,
U0238,31,Male,Employed,Hybrid,10.39,0.96,9.43,6.6,2,10,46.3,122,6.3,15.8,
U0239,24,Female,Student,In-person,8.71,0.48,8.23,7.14,1,9.6,48.5,61,10.9,0,
U0240,36,Male,Self-employed,Hybrid,9.04,0.45,8.59,5.2,1,9.5,49.9,19,7.3,10.5,
U0241,23,Male,Self-employed,Hybrid,7.05,1.19,5.86,5.81,1,6.4,69.1,140,0,37.1,
U0242,29,Male,Employed,Remote,7.76,2.5,5.26,7.72,2,7.9,60.6,103,2.4,26.2,
U0243,34,Female,Student,Hybrid,6.86,0.72,6.14,8.24,2,5.2,82.7,229,10,61.1,
U0244,36,Male,Employed,Hybrid,10.39,0.57,9.82,6.17,1,10,47.9,74,6.4,10.6,
U0245,20,Female,Employed,Hybrid,10.13,0.51,9.62,6.59,1,10,38.6,34,0,0,
U0246,27,Male,Retired,Remote,8.8,6.69,2.11,7.29,2,6.8,76.9,166,0,39,
U0247,26,Female,Employed,In-person,8.45,1.83,6.62,7.65,2,5.2,72.5,170,8.3,42.2,
U0248,24,Female,Employed,In-person,10.13,2.55,7.58,5.2,1,8.5,43.8,106,14.5,10.2,
U0249,44,Male,Employed,Remote,9.61,5.75,3.86,6.39,2,10,59.5,155,8.7,21.8,
U0250,33,Female,Employed,Remote,12.69,5.84,6.85,6.26,1,10,51.4,81,11.1,3.4,
U0251,19,Female,Employed,Remote,11.19,4.91,6.28,7.17,1,10,41,102,6,0,
U0252,37,Male,Student,Hybrid,4.87,0.41,4.46,9.74,3,2.7,88.9,214,2.5,83.8,
U0253,46,Male,Employed,Hybrid,13.66,0.79,12.87,6.33,1,10,36.5,128,7.2,1.7,
U0254,38,Male,Employed,Hybrid,9.8,0.65,9.15,5.88,1,8.6,53.2,91,9.9,11,
U0255,17,Male,Unemployed,Remote,6.42,4.43,1.99,7.63,1,7.6,65.6,208,8.4,31.3,
U0256,26,Male,Employed,Hybrid,9.26,0.46,8.8,8.03,2,7.1,65.1,0,0,40.4,
U0257,40,Female,Employed,Hybrid,9.66,1.16,8.5,7.14,1,8.4,50.5,249,5.1,0.4,
U0258,24,Female,Unemployed,Hybrid,2.44,0.12,2.32,7.25,3,0.6,100,21,6.4,88.9,
U0259,33,Female,Student,In-person,8.87,1,7.87,7.87,1,8.5,48.8,62,10.6,2.8,
